pixel_id,label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
p1510,1264,472.0,3005.752118644068,3350.383474576271,1264,intact,30,31,-7
p1550,1270,349.0,3008.146131805157,3403.9541547277936,1270,intact,30,32,-6
p1590,1268,553.0,3008.8499095840866,3456.003616636528,1268,intact,30,33,-5
p1630,1271,414.0,3008.350241545894,3505.123188405797,1271,intact,30,34,-4
p1670,1273,442.0,3009.185520361991,3561.029411764706,1273,intact,30,35,-3
p1710,1272,451.0,3010.490022172949,3611.833702882484,1272,intact,30,36,-2
p1750,1269,345.0,3007.7478260869566,3667.904347826087,1269,intact,30,37,-1
p311,1279,566.0,3051.8356890459363,1648.0865724381626,1279,intact,31,1,-37
p351,1280,290.0,3053.2758620689656,1692.193103448276,1280,intact,31,2,-36
p391,1282,595.0,3053.8386554621848,1760.431932773109,1282,intact,31,3,-35
p431,1284,377.0,3056.297082228117,1813.289124668435,1284,intact,31,4,-34
p471,1285,628.0,3054.062101910828,1866.506369426752,1285,intact,31,5,-33
p511,1290,352.0,3056.5397727272725,1919.3068181818185,1290,intact,31,6,-32
p551,1281,492.0,3053.3028455284552,1983.0386178861788,1281,intact,31,7,-31
p591,1293,284.0,3057.3345070422533,2032.2711267605637,1293,intact,31,8,-30
p631,1291,663.0,3057.1251885369534,2095.4419306184013,1291,intact,31,9,-29
p671,1288,229.0,3057.689956331877,2149.598253275109,1288,intact,31,10,-28
p711,1292,504.0,3056.8015873015875,2204.684523809524,1292,intact,31,11,-27
p751,1283,316.0,3057.215189873418,2258.6392405063293,1283,intact,31,12,-26
p791,1286,382.0,3056.965968586388,2317.3717277486912,1286,intact,31,13,-25
p831,1289,459.0,3058.488017429194,2366.653594771242,1289,intact,31,14,-24
p871,1287,532.0,3057.8289473684213,2439.374060150376,1287,intact,31,15,-23
p911,1294,269.0,3059.0,2483.171003717472,1294,intact,31,16,-22
p951,1295,244.0,3058.848360655738,2541.3237704918038,1295,intact,31,17,-21
p991,1296,259.0,3063.054054054054,2563.864864864865,1296,intact,31,18,-20
p1031,1298,533.0,3064.6848030018764,2661.939962476548,1298,intact,31,19,-19
p1071,1297,536.0,3065.2033582089557,2713.082089552239,1297,intact,31,20,-18
p1111,1299,474.0,3065.4704641350213,2773.274261603376,1299,intact,31,21,-17
p1151,1300,461.0,3066.522776572668,2824.5140997830804,1300,intact,31,22,-16
p1191,1301,599.0,3066.313856427379,2892.661101836394,1301,intact,31,23,-15
p1231,1303,240.0,3067.6041666666665,2945.2833333333333,1303,intact,31,24,-14
p1271,1304,589.0,3067.890245068739,3013.5805319784818,1304_1302,combined,31,25,-13
p1311,1305,296.0,3070.175675675676,3081.9560810810813,1305,intact,31,26,-12
p1351,1306,401.0,3070.004987531172,3119.067331670823,1306,intact,31,27,-11
p1391,1308,401.0,3070.231920199501,3178.266832917706,1308,intact,31,28,-10
p1431,1307,442.0,3071.2036199095023,3238.970588235294,1307,intact,31,29,-9
p1471,1314,341.0,3072.102639296188,3288.6451612903224,1314,intact,31,30,-8
p1511,1309,515.0,3071.9961165048544,3352.18640776699,1309,intact,31,31,-7
p1551,1315,287.0,3072.825783972125,3405.6062717770037,1315,intact,31,32,-6
p1591,1316,545.0,3072.484403669725,3459.132110091743,1316,intact,31,33,-5
p1631,1312,478.0,3073.023012552301,3505.943514644352,1312,intact,31,34,-4
p1671,1313,504.0,3074.3194444444443,3559.4841269841268,1313,intact,31,35,-3
p1711,1310,538.0,3072.940520446097,3611.297397769517,1310,intact,31,36,-2
p1751,1311,383.0,3072.809399477807,3662.738903394256,1311,intact,31,37,-1
p312,1321,675.0,3103.434074074074,1649.7185185185183,1321,intact,32,1,-37
p352,1332,271.0,3109.1771217712176,1692.158671586716,1332,intact,32,2,-36
p392,1318,624.0,3104.7115384615386,1758.2852564102564,1318,intact,32,3,-35
p432,1324,363.0,3105.6666666666665,1811.534435261708,1324,intact,32,4,-34
p472,1325,474.0,3106.430379746836,1863.590717299578,1325,intact,32,5,-33
p512,1326,360.0,3107.6583333333333,1920.405555555556,1326,intact,32,6,-32
p552,1330,475.0,3107.593684210526,1976.48,1330,intact,32,7,-31
p592,1329,286.0,3108.3426573426573,2030.7867132867132,1329,intact,32,8,-30
p632,1327,617.0,3108.3338735818475,2095.7066450567263,1327,intact,32,9,-29
p672,1333,233.0,3109.502145922747,2148.789699570816,1333,intact,32,10,-28
