label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
147,414.0,1527.6739130434783,2215.8888888888887,147,intact,4,11,-27
148,475.0,1528.1305263157894,2270.981052631579,148,intact,4,12,-26
149,428.0,1528.266355140187,2325.836448598131,149,intact,4,13,-25
153,500.0,1529.336,2379.95,153,intact,4,14,-24
146,568.0,1527.5897887323943,2448.6197183098593,146,intact,4,15,-23
152,291.0,1530.1649484536083,2491.168384879725,152,intact,4,16,-22
150,516.0,1528.7228682170542,2561.2887596899227,150,intact,4,17,-21
151,432.0,1531.5439814814815,2611.7800925925926,151,intact,4,18,-20
155,433.0,1531.0046189376444,2667.0877598152424,155,intact,4,19,-19
158,348.0,1533.301724137931,2719.8275862068967,158,intact,4,20,-18
156,423.0,1532.7706855791962,2785.6855791962175,156,intact,4,21,-17
159,378.0,1534.2486772486773,2831.6190476190477,159,intact,4,22,-16
160,438.0,1533.958904109589,2901.3972602739727,160,intact,4,23,-15
161,333.0,1535.5195195195195,2948.135135135135,161,intact,4,24,-14
154,582.0,1534.1529209621992,3019.4725085910654,154,intact,4,25,-13
162,323.0,1535.8328173374614,3065.4303405572755,162,intact,4,26,-12
157,577.0,1534.5597920277296,3129.100519930676,157,intact,4,27,-11
164,395.0,1537.5848101265822,3183.688607594937,164,intact,4,28,-10
163,481.0,1537.4324324324325,3243.738045738046,163,intact,4,29,-9
170,447.0,1538.5794183445191,3294.2058165548096,170,intact,4,30,-8
166,631.0,1538.7591125198098,3358.958795562599,166,intact,4,31,-7
167,315.0,1540.247619047619,3401.6031746031745,167,intact,4,32,-6
168,503.0,1540.2942345924453,3462.8290258449306,168,intact,4,33,-5
169,444.0,1540.6576576576576,3513.7972972972975,169,intact,4,34,-4
165,522.0,1539.8275862068965,3570.030651340996,165,intact,4,35,-3
171,432.0,1542.0347222222222,3618.0486111111113,171,intact,4,36,-2
172,365.0,1542.7397260273972,3670.695890410959,172,intact,4,37,-1
176,478.0,1580.2824267782428,1653.4225941422594,176,intact,5,1,-37
177,356.0,1581.6488764044943,1699.5337078651685,177,intact,5,2,-36
179,470.0,1582.2553191489362,1763.8127659574468,179,intact,5,3,-35
191,594.0,1582.9882154882155,1817.0791245791245,191,intact,5,4,-34
178,490.0,1582.0326530612244,1870.2571428571428,178,intact,5,5,-33
180,604.0,1583.1920529801325,1924.2334437086092,180,intact,5,6,-32
185,427.0,1583.7166276346604,1988.5737704918033,185,intact,5,7,-31
181,375.0,1584.9493333333332,2035.2373333333333,181,intact,5,8,-30
182,613.0,1583.2463295269167,2108.31484502447,182,intact,5,9,-29
186,286.0,1584.8181818181818,2155.0,186,intact,5,10,-28
188,547.0,1585.6654478976234,2218.4058500914075,188,intact,5,11,-27
187,252.0,1585.4126984126983,2273.4920634920636,187,intact,5,12,-26
189,554.0,1586.2472924187725,2328.7725631768953,189,intact,5,13,-25
192,527.0,1587.0246679316888,2376.4421252371917,192,intact,5,14,-24
183,509.0,1584.8624754420432,2446.50884086444,183,intact,5,15,-23
190,290.0,1585.855172413793,2490.713793103448,190,intact,5,16,-22
193,438.0,1586.7762557077626,2555.7785388127854,193,intact,5,17,-21
194,402.0,1590.9875621890546,2610.07960199005,194,intact,5,18,-20
197,508.0,1592.6574803149606,2670.6889763779527,197,intact,5,19,-19
195,506.0,1592.7272727272727,2725.308300395257,195,intact,5,20,-18
196,471.0,1592.244161358811,2787.4225053078558,196,intact,5,21,-17
199,392.0,1595.0,2831.752551020408,199,intact,5,22,-16
200,443.0,1593.8668171557563,2904.7516930022575,200,intact,5,23,-15
201,315.0,1596.1460317460317,2952.4349206349207,201,intact,5,24,-14
198,625.0,1595.5104,3022.8064,198,intact,5,25,-13
203,279.0,1598.68458781362,3072.6451612903224,203,intact,5,26,-12
202,579.0,1597.0690846286702,3135.623488773748,202,intact,5,27,-11
212,348.0,1600.0114942528735,3185.2557471264367,212,intact,5,28,-10
204,496.0,1598.850806451613,3241.375,204,intact,5,29,-9
205,350.0,1598.8514285714286,3296.174285714286,205,intact,5,30,-8
207,560.0,1599.525,3363.230357142857,207,intact,5,31,-7
208,326.0,1598.9907975460123,3405.782208588957,208,intact,5,32,-6
210,570.0,1600.8877192982457,3460.9350877192983,210,intact,5,33,-5
209,497.0,1601.1106639839034,3514.635814889336,209,intact,5,34,-4
206,515.0,1599.3514563106796,3567.9339805825243,206,intact,5,35,-3
211,439.0,1600.993166287016,3620.7995444191342,211,intact,5,36,-2
213,404.0,1600.1336633663366,3671.4678217821784,213,intact,5,37,-1
221,531.0,1634.7137476459511,1658.8154425612054,221,intact,6,1,-37
222,328.0,1636.0365853658536,1695.0884146341464,222,intact,6,2,-36
227,482.0,1636.5663900414938,1763.6721991701245,227,intact,6,3,-35
218,549.0,1636.8469945355191,1817.2367941712205,218,intact,6,4,-34
219,381.0,1636.6692913385828,1869.1443569553805,219,intact,6,5,-33
226,395.0,1636.9620253164558,1924.6556962025315,226,intact,6,6,-32
223,416.0,1637.6490384615386,1983.4326923076924,223,intact,6,7,-31
220,360.0,1637.6,2034.0777777777778,220,intact,6,8,-30
224,599.0,1637.9732888146912,2108.874791318865,224,intact,6,9,-29
230,267.0,1641.2397003745318,2155.2696629213483,230,intact,6,10,-28
225,524.0,1638.2156488549617,2216.0687022900765,225,intact,6,11,-27
228,455.0,1640.5406593406594,2267.5868131868133,228,intact,6,12,-26
229,521.0,1640.0479846449136,2327.3608445297505,229,intact,6,13,-25
231,456.0,1642.0087719298247,2379.2434210526317,231,intact,6,14,-24
232,537.0,1641.63687150838,2450.8472998137804,232,intact,6,15,-23
234,275.0,1644.0,2491.8545454545456,234,intact,6,16,-22
235,457.0,1644.6323851203501,2559.205689277899,235,intact,6,17,-21
233,419.0,1644.2338902147972,2609.4964200477325,233,intact,6,18,-20
236,530.0,1646.0849056603774,2668.877358490566,236,intact,6,19,-19
239,544.0,1646.0698529411766,2724.998161764706,239,intact,6,20,-18
237,477.0,1645.545073375262,2785.8993710691825,237,intact,6,21,-17
238,345.0,1646.895652173913,2834.3565217391306,238,intact,6,22,-16
247,408.0,1648.674019607843,2898.7622549019607,247,intact,6,23,-15
240,358.0,1650.145251396648,2949.594972067039,240,intact,6,24,-14
244,524.0,1647.3702290076335,3022.374045801527,244,intact,6,25,-13
241,382.0,1649.5575916230366,3075.329842931937,241,intact,6,26,-12
245,494.0,1648.661943319838,3131.728744939271,245,intact,6,27,-11
242,323.0,1649.1114551083592,3186.7770897832816,242,intact,6,28,-10
248,523.0,1650.4225621414914,3247.036328871893,248,intact,6,29,-9
251,328.0,1653.9725609756097,3295.0914634146343,251,intact,6,30,-8
